Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
FCRL5	BXMAS1, CD307e, FCRH5, IRTA2	ENSG00000143297	Fc receptor like 5	1	157513377-157552520	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		lymph node: 28.7;spleen: 20.5;tonsil: 32.8	appendix: 17.9	Cell line enhanced		U-266/70: 2.5;U-698: 5.1
FCRLA	FCRL, FCRLa, FCRLb, FCRLc1, FCRLc2, FCRLd, FCRLe, FCRLM1, FCRLX, FREB, MGC4595	ENSG00000132185	Fc receptor like A	1	161706972-161714352	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB016545	Enhanced					Tissue enriched	Group enriched	10	appendix: 31.2;lymph node: 80.5;spleen: 56.4;tonsil: 86.7	urinary bladder: 6.2	Cell line enhanced		Daudi: 338.0;SK-MEL-30: 150.5;U-698: 179.6
FCRLB	FCRL2, FCRLM2, FCRLY, FLJ31052, FREB-2	ENSG00000162746	Fc receptor like B	1	161721563-161728143	Predicted secreted proteins	Evidence at protein level	CAB026139	Uncertain		Supported	Cytosol		Tissue enhanced	Tissue enhanced		tonsil: 1.6	seminal vesicle: 1.2	Cell line enhanced		fHDF/TERT166: 6.8;HMC-1: 6.5
FDCSP	C4orf7, FDC-SP	ENSG00000181617	Follicular dendritic cell secreted protein	4	70226071-70235252	Predicted secreted proteins	Evidence at protein level	HPA014326, CAB014890	Enhanced				Lung cancer:1.32e-4 (favourable), Head and neck cancer:2.38e-4 (favourable)	Tissue enhanced	Tissue enhanced		lymph node: 1014.2;salivary gland: 1371.2;tonsil: 2458.1	appendix: 359.2	Cell line enhanced		HL-60: 1.0;K-562: 1.0;RH-30: 1.7;U-87 MG: 4.6
FETUB		ENSG00000090512	Fetuin B	3	186635969-186653141	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA035132	Supported					Tissue enriched	Tissue enriched	16	liver: 123.3	esophagus: 7.6	Not detected		
FGA		ENSG00000171560	Fibrinogen alpha chain	4	154583126-154590766	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB016776, HPA051370, HPA064755	Supported				Renal cancer:4.23e-6 (unfavourable), Liver cancer:7.33e-4 (favourable)	Tissue enriched	Tissue enriched	237	liver: 9265.4	stomach: 39.0	Cell line enriched	11	Hep G2: 285.6
FGB		ENSG00000171564	Fibrinogen beta chain	4	154562956-154571086	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001900, HPA001901, CAB008624	Enhanced		Enhanced	Endoplasmic reticulum	Renal cancer:5.72e-5 (unfavourable)	Tissue enriched	Tissue enriched	556	liver: 10006.0	kidney: 17.9	Cell line enriched	9	Hep G2: 184.1
FGF10		ENSG00000070193	Fibroblast growth factor 10	5	44303544-44389706	Disease related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010315	Uncertain					Tissue enriched	Tissue enhanced		ovary: 41.4	adipose tissue: 16.9	Cell line enriched	9	AF22: 51.3
FGF17	FGF-13	ENSG00000158815	Fibroblast growth factor 17	8	22042398-22048809	Cancer-related genes, Disease related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA052600	Approved					Tissue enhanced	Mixed			cerebral cortex: 1.8	Not detected		
FGF18	FGF-18, ZFGF5	ENSG00000156427	Fibroblast growth factor 18	5	171419656-171457623	Cancer-related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA018795	Uncertain					Group enriched	Tissue enhanced		heart muscle: 6.6	adipose tissue: 1.9	Cell line enriched	61	EFO-21: 178.4
FGF19		ENSG00000162344	Fibroblast growth factor 19	11	69698232-69704642	Cancer-related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA036082	Approved					Mixed	Tissue enriched	28	gallbladder: 262.2	small intestine: 9.4	Cell line enriched	14	CAPAN-2: 87.6
FGF21		ENSG00000105550	Fibroblast growth factor 21	19	48755559-48758330	Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA061286	Supported					Tissue enriched	Tissue enriched	38	liver: 6.6	thyroid gland: 0.1	Group enriched	8	HHSteC: 1.2;U-2 OS: 5.2
FGF22		ENSG00000070388	Fibroblast growth factor 22	19	639879-644371	Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level							Not detected	Tissue enhanced		skin: 8.5	cerebral cortex: 2.0	Cell line enhanced		AN3-CA: 1.8
FGF23		ENSG00000118972	Fibroblast growth factor 23	12	4368227-4379728	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level							Not detected	Mixed			epididymis: 1.5	Cell line enhanced		AF22: 1.9
FGF3	HBGF-3, INT2	ENSG00000186895	Fibroblast growth factor 3	11	69810224-69819024	Cancer-related genes, Disease related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA012692	Approved	Approved				Group enriched	Not detected			all non-specific tissues: 0.0	Cell line enriched	89	CAPAN-2: 8.8
FGF4	HBGF-4, HST, HST-1, HSTF1, K-FGF, KFGF	ENSG00000075388	Fibroblast growth factor 4	11	69771016-69775403	Cancer-related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA011209	Uncertain					Tissue enriched	Not detected			testis: 0.4	Cell line enriched	90	NTERA-2: 15.7
FGF5		ENSG00000138675	Fibroblast growth factor 5	4	80266599-80336680	Disease related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010313, HPA042442			Supported	Nucleus<br>Nucleoli fibrillar center<br>Cytosol		Not detected	Tissue enhanced		gallbladder: 5.6	smooth muscle: 1.4	Cell line enhanced		BJ hTERT+: 97.8;fHDF/TERT166: 68.3;HBF TERT88: 85.6;LHCN-M2: 67.6;U-138 MG: 108.3
FGF7	KGF	ENSG00000140285	Fibroblast growth factor 7	15	49423096-49488775	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA043605	Uncertain		Approved	Nucleus<br>Nucleoli		Mixed	Tissue enhanced		gallbladder: 55.0	endometrium: 31.1	Cell line enhanced		ASC diff: 31.5;ASC TERT1: 29.3;HSkMC: 31.1;RH-30: 33.7;U-138 MG: 23.1
FGF8	AIGF	ENSG00000107831	Fibroblast growth factor 8	10	101770130-101780369	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level							Group enriched	Tissue enriched	7	skeletal muscle: 15.7	testis: 2.2	Cell line enriched	29	RH-30: 40.4
FGFBP1	FGFBP, HBP17	ENSG00000137440	Fibroblast growth factor binding protein 1	4	15935569-15938740	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA004332	Enhanced				Pancreatic cancer:5.03e-4 (unfavourable)	Tissue enhanced	Tissue enriched	7	esophagus: 297.8	skin: 40.2	Cell line enhanced		CAPAN-2: 164.8;HaCaT: 489.2;HBEC3-KT: 688.5
FGFBP2	KSP37	ENSG00000137441	Fibroblast growth factor binding protein 2	4	15960243-15969309	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA039180	Uncertain					Group enriched	Tissue enhanced		bone marrow: 29.0	spleen: 18.0	Cell line enhanced		SK-MEL-30: 4.8;T-47d: 2.8;WM-115: 1.2
FGFBP3	C10orf13, MGC39320	ENSG00000174721	Fibroblast growth factor binding protein 3	10	91906589-91909483	Predicted secreted proteins	Evidence at protein level	HPA053943	Uncertain					Mixed	Tissue enriched	8	cerebral cortex: 19.5	thyroid gland: 2.5	Cell line enriched	11	AF22: 312.7
FGFR1	BFGFR, CD331, CEK, FLG, FLT2, H2, H3, H4, H5, KAL2, N-SAM	ENSG00000077782	Fibroblast growth factor receptor 1	8	38411138-38468834	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB033614, HPA056402, HPA076274	Approved		Supported	Nucleoli		Expressed in all	Expressed in all			cervix, uterine: 109.5	Cell line enhanced		AN3-CA: 602.2
FGFR2	BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25	ENSG00000066468	Fibroblast growth factor receptor 2	10	121478334-121598458	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010886, HPA035305, HPA056562	Uncertain		Approved	Vesicles	Cervical cancer:8.79e-4 (favourable), Head and neck cancer:9.32e-4 (favourable)	Expressed in all	Mixed			skin: 129.4	Cell line enhanced		AN3-CA: 169.6;BEWO: 58.8;HAP1: 61.4;NTERA-2: 58.4
FGFR3	ACH, CD333, CEK2, JTK4	ENSG00000068078	Fibroblast growth factor receptor 3	4	1793307-1808872	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB004231, HPA067204	Enhanced		Supported	Endoplasmic reticulum	Endometrial cancer:3.77e-4 (unfavourable)	Expressed in all	Tissue enriched	7	skin: 333.1	cerebral cortex: 49.4	Cell line enhanced		CACO-2: 41.4;Hep G2: 56.1;NTERA-2: 37.4;RT4: 81.0
FGFR4	CD334, JTK2	ENSG00000160867	Fibroblast growth factor receptor 4	5	177086886-177098144	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB005196, HPA027273, HPA027369, HPA028251	Approved					Mixed	Tissue enhanced		lung: 38.9	duodenum: 21.4	Cell line enhanced		CACO-2: 142.3;Hep G2: 118.3;RH-30: 260.0
FGFRL1		ENSG00000127418	Fibroblast growth factor receptor-like 1	4	1009936-1026897	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB026019, HPA068828	Approved		Supported	Vesicles		Expressed in all	Expressed in all			thyroid gland: 67.6	Mixed		
FGG		ENSG00000171557	Fibrinogen gamma chain	4	154604134-154612967	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA027529, CAB033120	Supported				Renal cancer:1.00e-6 (unfavourable)	Tissue enriched	Tissue enriched	115	liver: 8699.0	lung: 75.7	Cell line enriched	42	Hep G2: 503.3
FGL1	HFREP-1	ENSG00000104760	Fibrinogen like 1	8	17864380-17910365	Plasma proteins, Predicted secreted proteins	Evidence at protein level						Stomach cancer:5.38e-4 (unfavourable)	Tissue enriched	Tissue enriched	7	liver: 1005.3	pancreas: 137.8	Group enriched	12	A549: 49.7;Hep G2: 89.4
FGL2	pT49, T49	ENSG00000127951	Fibrinogen like 2	7	77193371-77199848	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA021011, HPA026682	Enhanced					Expressed in all	Expressed in all			spleen: 232.5	Cell line enhanced		RPTEC TERT1: 4.2;U-937: 4.7;WM-115: 6.3
FHL1	bA535K18.1, FHL1B, FLH1A, KYO-T, MGC111107, SLIM1, XMPMA	ENSG00000022267	Four and a half LIM domains 1	X	136146702-136211359	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001040, HPA001391, CAB020817	Enhanced		Supported	Plasma membrane<br>Cytosol	Urothelial cancer:2.11e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 3804.7	Cell line enhanced		BJ hTERT+: 219.3
FHOD3	FHOS2, FLJ22297, FLJ22717, KIAA1695	ENSG00000134775	Formin homology 2 domain containing 3	18	36297714-36780055	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA021827, HPA024696	Uncertain				Renal cancer:1.19e-5 (favourable)	Mixed	Tissue enhanced		heart muscle: 96.5;seminal vesicle: 88.0	epididymis: 51.4	Cell line enhanced		BJ hTERT+: 58.7;HDLM-2: 74.2
FIBIN	MGC24932	ENSG00000176971	Fin bud initiation factor homolog (zebrafish)	11	26994184-26996121	Predicted secreted proteins	Evidence at protein level	HPA040120	Uncertain				Thyroid cancer:1.85e-6 (unfavourable), Renal cancer:1.93e-5 (favourable), Stomach cancer:6.72e-4 (unfavourable)	Expressed in all	Tissue enhanced		seminal vesicle: 124.4	lung: 37.5	Group enriched	9	ASC diff: 67.5;ASC TERT1: 43.5;fHDF/TERT166: 24.9;HHSteC: 106.9;HSkMC: 96.0;hTCEpi: 25.5
FJX1	FLJ22416, FLJ25593	ENSG00000179431	Four jointed box 1	11	35618419-35620868	Predicted secreted proteins	Evidence at protein level	HPA059220	Uncertain		Approved	Vesicles	Renal cancer:9.24e-9 (unfavourable), Urothelial cancer:6.56e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 22.4	endometrium: 8.8	Mixed		
FKBP10	FKBP6, FLJ20683, FLJ22041, FLJ23833, hFKBP65	ENSG00000141756	FK506 binding protein 10	17	41812680-41823217	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA051171, HPA057021	Enhanced		Approved	Vesicles	Renal cancer:0.00e+0 (unfavourable), Thyroid cancer:3.43e-5 (unfavourable), Cervical cancer:4.16e-4 (unfavourable), Urothelial cancer:4.99e-4 (unfavourable)	Expressed in all	Mixed			placenta: 84.7	Mixed		
FKBP11	FKBP19	ENSG00000134285	FK506 binding protein 11	12	48921518-48926474	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA041709	Enhanced		Approved	Centrosome	Renal cancer:0.00e+0 (unfavourable), Endometrial cancer:7.09e-4 (favourable)	Expressed in all	Mixed			pancreas: 60.7	Mixed		
FKBP14	FKBP22, FLJ20731	ENSG00000106080	FK506 binding protein 14	7	30010587-30026684	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA013329, HPA026829	Uncertain		Approved	Nucleus<br>Golgi apparatus<br>Cytosol	Breast cancer:1.60e-4 (unfavourable), Urothelial cancer:4.25e-4 (unfavourable), Stomach cancer:4.57e-4 (unfavourable), Liver cancer:6.87e-4 (unfavourable)	Expressed in all	Mixed			smooth muscle: 20.3	Mixed		
FKBP2	FKBP-13, PPIase	ENSG00000173486	FK506 binding protein 2	11	64241003-64244132	Enzymes, Predicted secreted proteins	Evidence at protein level	CAB025561, HPA049405	Enhanced		Approved	Plasma membrane		Expressed in all	Expressed in all			epididymis: 399.2	Expressed in all		
FKBP7	FKBP23	ENSG00000079150	FK506 binding protein 7	2	178463664-178478600	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA008707	Approved	Supported	Supported	Endoplasmic reticulum	Renal cancer:4.61e-6 (unfavourable)	Expressed in all	Tissue enhanced		ovary: 60.2	endometrium: 44.1	Cell line enhanced		ASC diff: 104.3;ASC TERT1: 65.6
FKBP9	FKBP60, FKBP63	ENSG00000122642	FK506 binding protein 9	7	32957404-33006931	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA012595, HPA055256	Approved		Supported	Golgi apparatus<br>Vesicles<br>Mitochondria	Urothelial cancer:7.02e-6 (unfavourable), Head and neck cancer:2.02e-4 (unfavourable), Cervical cancer:4.22e-4 (unfavourable), Glioma:8.06e-4 (unfavourable), Liver cancer:8.69e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 110.4	Mixed		
FLJ22763		ENSG00000241224	Uncharacterized LOC401081	3	109118252-109150514	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level							Tissue enhanced	Tissue enhanced		duodenum: 97.6;small intestine: 94.5	kidney: 19.5	Cell line enhanced		CACO-2: 1.0
FLT1	FLT, VEGFR1	ENSG00000102755	Fms related tyrosine kinase 1	13	28300344-28495145	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA011740, HPA014290, CAB068189, CAB068190	Enhanced		Supported	Plasma membrane<br>Actin filaments	Renal cancer:2.19e-4 (unfavourable)	Expressed in all	Tissue enriched	8	placenta: 622.5	thyroid gland: 81.9	Cell line enhanced		BJ: 61.1;HMC-1: 308.1;WM-115: 126.2
FLT4	PCL, VEGFR3	ENSG00000037280	Fms related tyrosine kinase 4	5	180601506-180649624	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB000099, HPA046519, HPA067906	Approved		Enhanced	Nuclear speckles<br>Plasma membrane<br>Cell Junctions		Expressed in all	Mixed			spleen: 18.3	Cell line enhanced		BEWO: 11.8;HEK 293: 14.1;T-47d: 13.7;TIME: 12.7
FMOD	SLRR2E	ENSG00000122176	Fibromodulin	1	203340628-203351489	Predicted secreted proteins	Evidence at protein level						Renal cancer:1.40e-5 (unfavourable), Urothelial cancer:2.67e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 171.7	Cell line enhanced		CACO-2: 28.0;HHSteC: 8.7;HSkMC: 14.1
FN1	CIG, FINC, GFND2, LETS, MSF	ENSG00000115414	Fibronectin 1	2	215360440-215436172	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000126, HPA027066	Enhanced				Renal cancer:3.44e-8 (unfavourable), Stomach cancer:8.82e-5 (unfavourable), Urothelial cancer:3.33e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 4284.3	lung: 1167.5	Cell line enhanced		ASC TERT1: 24376.9;HSkMC: 11926.5;hTERT-HME1: 7509.7
FNDC1	bA243O10.1, dJ322A24.1, FNDC2, KIAA1866	ENSG00000164694	Fibronectin type III domain containing 1	6	159169397-159272109	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA030962, HPA030963	Approved		Supported	Nuclear speckles	Renal cancer:1.93e-6 (unfavourable), Endometrial cancer:6.10e-5 (favourable)	Tissue enhanced	Tissue enhanced		gallbladder: 22.9;thyroid gland: 34.1	smooth muscle: 16.5	Cell line enhanced		fHDF/TERT166: 2.3
FNDC7	FLJ35838	ENSG00000143107	Fibronectin type III domain containing 7	1	108712657-108742740	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA028079, HPA054297	Enhanced		Approved	Nucleoplasm<br>Actin filaments		Not detected	Tissue enriched	12	testis: 2.0	bone marrow,cerebral cortex: 0.1	Not detected		
FOLR2		ENSG00000165457	Folate receptor beta	11	72216601-72221950	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Thyroid cancer:8.41e-4 (favourable), Colorectal cancer:8.42e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 235.4	Group enriched	6	Daudi: 2.6;U-698: 12.5
FOLR3	FR-G	ENSG00000110203	Folate receptor 3	11	72114869-72139892	Predicted secreted proteins	Evidence at protein level							Tissue enhanced	Tissue enhanced		bone marrow: 56.7	appendix: 12.4	Group enriched	5	hTERT-HME1: 55.6;U-2197: 60.1
FOXRED2	ERFAD, FLJ23322	ENSG00000100350	FAD dependent oxidoreductase domain containing 2	22	36487190-36507101	Predicted secreted proteins	Evidence at protein level	HPA031611, HPA031612	Approved				Cervical cancer:4.86e-5 (favourable), Thyroid cancer:9.32e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 30.8	Cell line enhanced		SiHa: 155.2
FPGS		ENSG00000136877	Folylpolyglutamate synthase	9	127794597-127814327	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA050488	Approved				Endometrial cancer:9.08e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube,ovary: 26.1	Expressed in all		
FRAS1	FLJ14927, FLJ22031, KIAA1500	ENSG00000138759	Fraser extracellular matrix complex subunit 1	4	78057570-78544269	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA011281, HPA051601	Approved		Approved	Nucleoli fibrillar center	Renal cancer:4.69e-4 (favourable)	Mixed	Tissue enhanced		thyroid gland: 20.2	kidney,placenta: 8.2	Cell line enhanced		fHDF/TERT166: 28.1;RH-30: 19.7;SiHa: 23.0
FREM1	C9orf143, C9orf145, C9orf154, DKFZp686M16108, FLJ25461, TILRR	ENSG00000164946	FRAS1 related extracellular matrix 1	9	14734666-14910995	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Mixed	Tissue enhanced		endometrium: 34.0;epididymis: 44.5	smooth muscle: 23.2	Cell line enriched	8	HEL: 162.3
FREM3		ENSG00000183090	FRAS1 related extracellular matrix 3	4	143577302-143700675	Predicted secreted proteins	Evidence at protein level	HPA041641	Uncertain					Not detected	Tissue enhanced		cerebral cortex: 1.6	lung: 0.6	Not detected		
FRMPD2	MGC35285, PDZD5C, PDZK5C	ENSG00000170324	FERM and PDZ domain containing 2	10	48153088-48274870	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enhanced		cerebral cortex: 1.6;fallopian tube: 4.6	thyroid gland: 0.8	Cell line enhanced		BEWO: 2.3;SCLC-21H: 1.2
FRZB	FRE, FRITZ, FRP-3, FRZB-1, FRZB-PEN, FRZB1, FZRB, hFIZ, SFRP3, SRFP3	ENSG00000162998	Frizzled-related protein	2	182833275-182867162	Disease related genes, Predicted secreted proteins	Evidence at protein level						Renal cancer:8.97e-6 (unfavourable)	Expressed in all	Tissue enhanced		spleen: 101.2	gallbladder: 50.3	Cell line enhanced		AF22: 16.2;ASC diff: 5.3;NTERA-2: 6.7;SH-SY5Y: 6.0
FSHB		ENSG00000131808	Follicle stimulating hormone beta subunit	11	30231016-30235261	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	CAB023410, HPA069703	Supported					Not detected	Not detected			all non-specific tissues: 0.0	Not detected		
FSHR	FSHRO, LGR1, ODG1	ENSG00000170820	Follicle stimulating hormone receptor	2	48962157-49154537	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level							Not detected	Group enriched	9	ovary: 2.5;testis: 4.3	gallbladder: 0.3	Not detected		
FST	FS	ENSG00000134363	Follistatin	5	53480409-53487134	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB026025	Approved				Renal cancer:4.44e-5 (unfavourable)	Expressed in all	Mixed			liver: 33.0	Cell line enhanced		BJ hTERT+: 272.8;HaCaT: 253.0;PC-3: 509.0
FSTL1	FRP, FSL1, OCC-1, OCC1, tsc36	ENSG00000163430	Follistatin like 1	3	120392293-120451253	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA035251, HPA040815	Uncertain		Approved	Vesicles<br>Cytosol	Renal cancer:1.33e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 656.3	Cell line enhanced		BJ: 1888.8;fHDF/TERT166: 2153.3;HBF TERT88: 1729.6
FSTL3	FLRG, FSRP	ENSG00000070404	Follistatin like 3	19	676365-683399	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB024899, HPA045378	Approved		Approved	Nucleoplasm	Lung cancer:4.61e-7 (unfavourable), Ovarian cancer:1.65e-4 (unfavourable), Colorectal cancer:3.01e-4 (unfavourable), Endometrial cancer:3.03e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 260.8	Expressed in all		
FSTL4	KIAA1061	ENSG00000053108	Follistatin like 4	5	133196455-133612564	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045920	Uncertain		Approved	Mitochondria		Mixed	Tissue enhanced		cerebral cortex: 9.5	urinary bladder: 7.3	Cell line enhanced		SCLC-21H: 66.8
FSTL5	DKFZp566D234, KIAA1263	ENSG00000168843	Follistatin like 5	4	161383897-162164035	Predicted secreted proteins	Evidence at protein level							Tissue enriched	Group enriched	11	adrenal gland: 7.8;cerebral cortex: 16.2	testis: 1.1	Cell line enhanced		HL-60: 9.8;HUVEC TERT2: 9.0;Karpas-707: 53.8;SH-SY5Y: 11.3;U-2197: 15.1
FUCA1		ENSG00000179163	Fucosidase, alpha-L- 1, tissue	1	23845077-23868294	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA046542, HPA056371	Enhanced				Renal cancer:5.70e-13 (favourable), Endometrial cancer:2.45e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 185.6	Cell line enhanced		CAPAN-2: 144.5
FUCA2	dJ20N2.5, MGC1314	ENSG00000001036	Fucosidase, alpha-L- 2, plasma	6	143494811-143511690	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA031659, HPA031660, HPA031661	Uncertain				Liver cancer:2.70e-9 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 154.2	Mixed		
FURIN	FUR, PACE, PCSK3, SPC1	ENSG00000140564	Furin, paired basic amino acid cleaving enzyme	15	90868592-90883458	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB009499	Approved		Supported	Nucleoplasm<br>Golgi apparatus	Lung cancer:1.58e-4 (unfavourable)	Expressed in all	Expressed in all			salivary gland: 92.8	Expressed in all		
FUT11	MGC33202	ENSG00000196968	Fucosyltransferase 11	10	73772291-73780251	Predicted secreted proteins	Evidence at protein level	HPA014033	Approved		Approved	Nuclear membrane<br>Golgi apparatus	Cervical cancer:2.39e-6 (unfavourable), Renal cancer:3.67e-4 (unfavourable), Breast cancer:6.78e-4 (unfavourable)	Expressed in all	Mixed			placenta: 25.0	Mixed		
FXR1		ENSG00000114416	FMR1 autosomal homolog 1	3	180868141-180982753	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA018246, HPA055475	Approved		Enhanced	Cytosol	Renal cancer:2.19e-5 (unfavourable), Liver cancer:2.70e-4 (unfavourable), Endometrial cancer:5.96e-4 (unfavourable), Pancreatic cancer:7.30e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 276.6	Expressed in all		
FXYD3	MAT-8, PLML	ENSG00000089356	FXYD domain containing ion transport regulator 3	19	35115879-35124324	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010856	Enhanced				Renal cancer:1.15e-6 (unfavourable)	Expressed in all	Tissue enhanced		colon: 1455.6;rectum: 1952.1	stomach: 557.3	Cell line enhanced		HaCaT: 792.6;hTCEpi: 1156.1;RT4: 686.4;SK-BR-3: 621.3;WM-115: 590.3
GAA		ENSG00000171298	Glucosidase alpha, acid	17	80101556-80119879	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA026970, HPA029126	Enhanced				Colorectal cancer:7.66e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 69.7	Mixed		
