"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"IDS",126,"B5","IOH6639",939,"0",NA,"iduronate 2-sulfatase, mRNA (cDNA clone MGC:13238 IMAGE:4025980), complete cds","BC006170.1","AAH06170.1",3423,"Hs.460960","SIDS","ENSG00000010404","Iduronate 2-sulfatase","X","149476990-149521096","Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Expressed in all","Tissue enriched",5,"cerebral cortex: 435.8","epididymis: 86.8","Expressed in all",NA,NA
"IER3IP1",19,"F7","IOH13339",249,"NP_057181.1","NP_057181.1","immediate early response 3 interacting protein 1 (IER3IP1), mRNA.","NM_016097.3","NP_057181.1",51124,"Hs.653122",NA,"ENSG00000134049","Immediate early response 3 interacting protein 1","18","47152834-47176374","Disease related genes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA010027","Supported",NA,"Supported","Endoplasmic reticulum","Liver cancer:6.47e-6 (unfavourable), Ovarian cancer:8.59e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"kidney: 32.8","Expressed in all",NA,NA
"IFI30",14,"H9","IOH13656",753,"0",NA,"interferon, gamma-inducible protein 30 (IFI30), mRNA.","NM_006332.3","NP_006323.2",10437,"Hs.14623","GILT, IFI-30, IP-30, IP30, MGC32056","ENSG00000216490","IFI30, lysosomal thiol reductase","19","18173162-18178117","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA026650","Approved",NA,"Supported","Vesicles<br>Cytosol",NA,"Mixed","Expressed in all",NA,NA,"appendix: 828.7","Cell line enhanced",NA,"Daudi: 385.9;RPMI-8226: 408.1;U-266/84: 467.0"
"IFI30",60,"G6","IOH27971",753,"0",NA,"interferon, gamma-inducible protein 30, mRNA (cDNA clone MGC:32800 IMAGE:4690088), complete cds","BC031020.1","AAH31020.1",10437,"Hs.14623","GILT, IFI-30, IP-30, IP30, MGC32056","ENSG00000216490","IFI30, lysosomal thiol reductase","19","18173162-18178117","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA026650","Approved",NA,"Supported","Vesicles<br>Cytosol",NA,"Mixed","Expressed in all",NA,NA,"appendix: 828.7","Cell line enhanced",NA,"Daudi: 385.9;RPMI-8226: 408.1;U-266/84: 467.0"
"IFNA1",103,"H4","IOH35235",570,"0",NA,"interferon, alpha 1 (IFNA1), mRNA.","NM_024013.1","NP_076918.1",3439,"Hs.37026","IFL, IFN, IFN-ALPHA, IFN-alphaD, IFNA@, IFNA13","ENSG00000197919","Interferon alpha 1","9","21440454-21441316","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"urinary bladder: 0.2","Cell line enhanced",NA,"HeLa: 1.4"
"IFNA10",140,"D1","IOH35229",570,"0",NA,"interferon, alpha 10 (IFNA10), mRNA.","NM_002171.1","NP_002162.1",3446,"Hs.282275","IFN-alphaC","ENSG00000186803","Interferon alpha 10","9","21206181-21207143","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA13",137,"A3","IOH56629",570,"0",NA,"interferon, alpha 13, mRNA (cDNA clone MGC:121023 IMAGE:7939833), complete cds","BC093988.1","AAH93988.1",3447,"Hs.533471",NA,"ENSG00000233816","Interferon alpha 13","9","21367424-21368962","Cancer-related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"epididymis: 0.5","Not detected",NA,NA
"IFNA14",150,"D2","IOH61932",570,"0",NA,"interferon, alpha 14 (IFNA14), mRNA.","NM_002172.2","NP_002163.2",3448,"Hs.93907","IFN-alphaH, LEIF2H","ENSG00000228083","Interferon alpha 14","9","21239002-21239991","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA16",103,"F4","IOH35231",570,"0",NA,"interferon, alpha 16 (IFNA16), mRNA.","NM_002173.2","NP_002164.1",3449,"Hs.56303","IFN-alphaO","ENSG00000147885","Interferon alpha 16","9","21216373-21217311","Predicted secreted proteins","Evidence at transcript level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA17",111,"G10","IOH35234",570,"0",NA,"interferon, alpha 17 (IFNA17), mRNA.","NM_021268.1","NP_067091.1",3451,"Hs.282276","IFN-alphaI, LEIF2C1","ENSG00000234829","Interferon alpha 17","9","21227243-21228222","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA2",103,"B4","IOH35221",567,"0",NA,"interferon, alpha 2 (IFNA2), mRNA.","NM_000605.3","NP_000596.2",3440,"Hs.211575","IFN-alphaA, IFNA","ENSG00000188379","Interferon alpha 2","9","21384254-21385388","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA21",95,"G6","IOH40250",570,"0",NA,"interferon, alpha 21 (IFNA21), mRNA.","NM_002175.2","NP_002166.2",3452,"Hs.113211","IFN-alphaI","ENSG00000137080","Interferon alpha 21","9","21165637-21166660","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"lymph node: 0.1","Not detected",NA,NA
"IFNA4",150,"A6","IOH61950",570,"0",NA,"interferon, alpha 4, mRNA (cDNA clone MGC:104059 IMAGE:30915507), complete cds","BC074965.2","AAH74965.1",3441,"Hs.1510","IFN-alpha4a, MGC142200","ENSG00000236637","Interferon alpha 4","9","21186694-21187671","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA4",144,"E3","IOH54736",570,"0",NA,"interferon, alpha 4 (IFNA4), mRNA.","NM_021068.2","NP_066546.1",3441,"Hs.1510","IFN-alpha4a, MGC142200","ENSG00000236637","Interferon alpha 4","9","21186694-21187671","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA5",103,"D4","IOH35227",570,"0",NA,"interferon, alpha 5 (IFNA5), mRNA.","NM_002169.1","NP_002160.1",3442,"Hs.37113","IFN-alphaG","ENSG00000147873","Interferon alpha 5","9","21304326-21305312","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"epididymis: 0.2","Not detected",NA,NA
"IFNA6",103,"G4","IOH35232",570,"0",NA,"interferon, alpha 6 (IFNA6), mRNA.","NM_021002.1","NP_066282.1",3443,"Hs.533470","IFN-alphaK","ENSG00000120235","Interferon alpha 6","9","21349835-21351378","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNA8",103,"E4","IOH35228",570,"0",NA,"interferon, alpha 8 (IFNA8), mRNA.","NM_002170.3","NP_002161.2",3445,"Hs.73890","IFN-alphaB","ENSG00000120242","Interferon alpha 8","9","21409147-21410185","Predicted secreted proteins","Evidence at protein level","HPA047557","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"all non-specific tissues: 0.0","Not detected",NA,NA
"IFNAR1",136,"B9","IOH56150",1674,"NP_000620.1","NP_000620.2","interferon (alpha, beta and omega) receptor 1 (IFNAR1), mRNA.","NM_000629.2","NP_000620.2",3454,"Hs.529400","IFNAR, IFRC","ENSG00000142166","Interferon alpha and beta receptor subunit 1","21","33324477-33359862","Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA018015, HPA029226","Approved",NA,"Approved","Cytosol",NA,"Expressed in all","Expressed in all",NA,NA,"parathyroid gland: 61.3","Expressed in all",NA,NA
"IFNB1",103,"A4","IOH35219",564,"0",NA,"interferon, beta 1, fibroblast (IFNB1), mRNA.","NM_002176.2","NP_002167.1",3456,"Hs.93177","IFB, IFF, IFNB","ENSG00000171855","Interferon beta 1","9","21077105-21077963","Cancer-related genes, Predicted secreted proteins","Evidence at protein level","CAB009386","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"bone marrow: 0.3","Cell line enhanced",NA,"BJ hTERT+ SV40 Large T+ RasG12V: 1.1"
"IFNG",98,"D1","IOH40816",501,"0",NA,"interferon, gamma (IFNG), mRNA.","NM_000619.2","NP_000610.2",3458,"Hs.856",NA,"ENSG00000111537","Interferon gamma","12","68154768-68159747","Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB010344","Approved",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"appendix: 4.7;bone marrow: 7.6;lymph node: 7.9","lung: 2.5","Not detected",NA,NA
"IFNGR1",20,"A7","IOH7300",1470,"NP_000407.1","NP_000407.1","interferon gamma receptor 1 (IFNGR1), mRNA.","NM_000416.2","NP_000407.1",3459,"Hs.520414","CD119, IFNGR","ENSG00000027697","Interferon gamma receptor 1","6","137197484-137219449","CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB025889, HPA063871","Approved",NA,NA,NA,"Renal cancer:5.48e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"spleen: 221.9","Expressed in all",NA,NA
"IFNW1",103,"C5","IOH35249",588,"0",NA,"interferon, omega 1 (IFNW1), mRNA.","NM_002177.1","NP_002168.1",3467,"Hs.73010",NA,"ENSG00000177047","Interferon omega 1","9","21140214-21142145","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"bone marrow,lymph node,skin,testis,thyroid gland: 0.1","Not detected",NA,NA
"IGF1",141,"G2","IOH58981",462,"0",NA,"insulin-like growth factor 1 (somatomedin C) (IGF1), transcript variant 4, mRNA.","NM_000618.3","NP_000609.1",3479,"Hs.160562","IGF-I, IGF1A, IGFI","ENSG00000017427","Insulin like growth factor 1","12","102395867-102480645","Disease related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins","Evidence at protein level","HPA048946","Approved",NA,NA,NA,"Endometrial cancer:1.04e-4 (favourable)","Mixed","Tissue enhanced",NA,"cervix, uterine: 126.8","smooth muscle: 98.2","Cell line enhanced",NA,"ASC diff: 21.1;HDLM-2: 45.4;K-562: 19.8;U-266/70: 10.2"
"IGF2",38,"F2","IOH13185",342,"0",NA,"Putative insulin-like growth factor 2-associated protein.","P09565","P09565",3481,"Hs.272259","C11orf43, FLJ44734, IGF-II","ENSG00000167244","Insulin like growth factor 2","11","2129112-2141238","Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007556, HPA007993","Enhanced",NA,"Approved","Nucleoplasm<br>Vesicles","Liver cancer:7.12e-4 (favourable)","Group enriched","Tissue enriched",18,"placenta: 3962.9","fallopian tube: 217.6","Cell line enhanced",NA,"CACO-2: 711.5;Hep G2: 406.1;LHCN-M2: 277.7;RH-30: 396.9;SH-SY5Y: 525.9"
"IGF2",26,"F2","IOH3689",543,"0",NA,"insulin-like growth factor 2 (somatomedin A) (IGF2), transcript variant 1, mRNA.","NM_000612.4","NP_000603.1",3481,"Hs.272259","C11orf43, FLJ44734, IGF-II","ENSG00000167244","Insulin like growth factor 2","11","2129112-2141238","Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007556, HPA007993","Enhanced",NA,"Approved","Nucleoplasm<br>Vesicles","Liver cancer:7.12e-4 (favourable)","Group enriched","Tissue enriched",18,"placenta: 3962.9","fallopian tube: 217.6","Cell line enhanced",NA,"CACO-2: 711.5;Hep G2: 406.1;LHCN-M2: 277.7;RH-30: 396.9;SH-SY5Y: 525.9"
"IGFALS",51,"A4","IOH10631",1818,"0",NA,"insulin-like growth factor binding protein, acid labile subunit, mRNA (cDNA clone MGC:34474 IMAGE:5205012), complete cds","BC025681.1","AAH25681.1",3483,"Hs.839","ALS","ENSG00000099769","Insulin like growth factor binding protein acid labile subunit","16","1790413-1794971","Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA040692, HPA040948","Approved",NA,"Supported","Nucleoplasm","Liver cancer:5.97e-4 (favourable), Endometrial cancer:6.06e-4 (unfavourable)","Tissue enhanced","Group enriched",6,"liver: 25.0;stomach: 6.6","gallbladder: 2.5","Cell line enhanced",NA,"Hep G2: 1.2;U-266/70: 1.3"
"IGFBP1",119,"G11","IOH28640",780,"0",NA,"insulin-like growth factor binding protein 1, mRNA (cDNA clone MGC:30041 IMAGE:4800940), complete cds","BC035263.1","AAH35263.2",3484,"Hs.642938","AFBP, hIGFBP-1, IBP1, IGF-BP25, PP12","ENSG00000146678","Insulin like growth factor binding protein 1","7","45888357-45893668","Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB004445, HPA046972, HPA050640","Enhanced",NA,"Approved","Golgi apparatus","Renal cancer:6.90e-11 (unfavourable), Lung cancer:1.03e-4 (unfavourable), Stomach cancer:6.64e-4 (unfavourable)","Tissue enriched","Group enriched",52,"endometrium: 120.4;liver: 563.0;placenta: 265.8","fallopian tube: 6.0","Group enriched",8,"Hep G2: 33.4;U-2197: 71.7;U-87 MG: 128.8"
"IGFBP1",118,"G5","IOH29150",780,"0",NA,"insulin-like growth factor binding protein 1, mRNA (cDNA clone MGC:71720 IMAGE:30337849), complete cds","BC057806.1","AAH57806.1",3484,"Hs.642938","AFBP, hIGFBP-1, IBP1, IGF-BP25, PP12","ENSG00000146678","Insulin like growth factor binding protein 1","7","45888357-45893668","Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB004445, HPA046972, HPA050640","Enhanced",NA,"Approved","Golgi apparatus","Renal cancer:6.90e-11 (unfavourable), Lung cancer:1.03e-4 (unfavourable), Stomach cancer:6.64e-4 (unfavourable)","Tissue enriched","Group enriched",52,"endometrium: 120.4;liver: 563.0;placenta: 265.8","fallopian tube: 6.0","Group enriched",8,"Hep G2: 33.4;U-2197: 71.7;U-87 MG: 128.8"
"IGFBP2",135,"H5","IOH56807",987,"0",NA,"insulin-like growth factor binding protein 2, 36kDa (IGFBP2), mRNA.","NM_000597.2","NP_000588.2",3485,"Hs.438102","IBP2","ENSG00000115457","Insulin like growth factor binding protein 2","2","216632828-216664436","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA077723",NA,NA,"Approved","Endoplasmic reticulum","Renal cancer:2.22e-5 (unfavourable), Melanoma:2.43e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"seminal vesicle: 279.9","Cell line enhanced",NA,"ASC diff: 1479.2;HMC-1: 4500.9"
"IGFBP3",85,"C9","IOH4702",876,"0",NA,"insulin-like growth factor binding protein 3, mRNA (cDNA clone MGC:2305 IMAGE:3506666), complete cds","BC000013.2","AAH00013.1",3486,"Hs.450230","BP-53, IBP3","ENSG00000146674","Insulin like growth factor binding protein 3","7","45912245-45921874","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB010360",NA,NA,"Approved","Nucleoplasm<br>Vesicles<br>Cytosol","Renal cancer:5.07e-7 (unfavourable), Colorectal cancer:1.08e-4 (unfavourable), Liver cancer:1.64e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"placenta: 2671.0","endometrium: 886.0","Cell line enhanced",NA,"fHDF/TERT166: 6647.1;U-2197: 3223.6;U-87 MG: 1735.3"
"IGFBP3",129,"A7","IOH53821",876,"0",NA,"insulin-like growth factor binding protein 3 (IGFBP3), transcript variant 2, mRNA.","NM_000598.4","NP_000589.2",3486,"Hs.450230","BP-53, IBP3","ENSG00000146674","Insulin like growth factor binding protein 3","7","45912245-45921874","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB010360",NA,NA,"Approved","Nucleoplasm<br>Vesicles<br>Cytosol","Renal cancer:5.07e-7 (unfavourable), Colorectal cancer:1.08e-4 (unfavourable), Liver cancer:1.64e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"placenta: 2671.0","endometrium: 886.0","Cell line enhanced",NA,"fHDF/TERT166: 6647.1;U-2197: 3223.6;U-87 MG: 1735.3"
"IGFBP4",34,"B12","IOH12509",777,"0",NA,"insulin-like growth factor binding protein 4 (IGFBP4), mRNA.","NM_001552.2","NP_001543.2",3487,"Hs.462998","BP-4, HT29-IGFBP, IBP4, IGFBP-4","ENSG00000141753","Insulin like growth factor binding protein 4","17","40443461-40457731","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA066240","Supported",NA,NA,NA,"Renal cancer:2.72e-5 (unfavourable), Endometrial cancer:3.54e-4 (favourable), Liver cancer:5.49e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"smooth muscle: 932.6","Cell line enhanced",NA,"A549: 1206.8;HSkMC: 1458.4"
"IGFBP5",41,"H10","IOH9659",819,"0",NA,"insulin-like growth factor binding protein 5 (IGFBP5), mRNA.","NM_000599.3","NP_000590.1",3488,"Hs.607212",NA,"ENSG00000115461","Insulin like growth factor binding protein 5","2","216672105-216695525","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA059827",NA,NA,"Approved","Nuclear bodies<br>Golgi apparatus<br>Vesicles","Endometrial cancer:1.78e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"cervix, uterine: 2374.4;ovary: 1646.3","fallopian tube: 949.1","Cell line enhanced",NA,"BJ: 704.3;BJ hTERT+: 1787.5;T-47d: 500.8;U-138 MG: 702.9"
"IGFBP6",85,"H10","IOH5480",723,"0",NA,"insulin-like growth factor binding protein 6 (IGFBP6), mRNA.","NM_002178.2","NP_002169.1",3489,"Hs.274313",NA,"ENSG00000167779","Insulin like growth factor binding protein 6","12","53097436-53102345","Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA008005","Uncertain",NA,NA,NA,"Glioma:6.66e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"adipose tissue: 72.2","cervix, uterine: 47.7","Cell line enhanced",NA,"BJ: 290.6;HaCaT: 180.1;U-87 MG: 136.0"
"IGSF1",106,"A2","IOH41224",729,"NP_001546.1","NP_991402.1","immunoglobulin superfamily, member 1 (IGSF1), transcript variant 2, mRNA.","NM_205833.2","NP_991402.1",3547,"Hs.22111","IGCD1, IGDC1, INHBP, KIAA0364, MGC75490, PGSF2","ENSG00000147255","Immunoglobulin superfamily member 1","X","131273506-131578899","Disease related genes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA012732, HPA035582","Enhanced",NA,"Approved","Cytosol","Endometrial cancer:4.25e-8 (unfavourable)","Tissue enriched","Tissue enhanced",NA,"testis: 20.0","adrenal gland: 13.1","Cell line enhanced",NA,"Hep G2: 22.7;SH-SY5Y: 30.6"
"IGSF10",119,"H11","IOH28655",1809,"0",NA,"immunoglobulin superfamily, member 10, mRNA (cDNA clone IMAGE:5271204), complete cds.","BC031063.1","AAH31063.1",285313,"Hs.708245","CMF608, FLJ25972","ENSG00000152580","Immunoglobulin superfamily member 10","3","151425384-151458709","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA012921","Uncertain",NA,"Approved","Nucleoplasm<br>Intermediate filaments",NA,"Mixed","Tissue enhanced",NA,"ovary: 18.1","gallbladder: 14.7","Cell line enhanced",NA,"HeLa: 31.1;HL-60: 18.4;REH: 15.7;RPMI-8226: 38.1"
"IGSF21",91,"G6","IOH6923",1404,"0",NA,"immunoglobin superfamily, member 21, mRNA (cDNA clone MGC:15730 IMAGE:3355289), complete cds","BC007618.1","AAH07618.1",84966,"Hs.212511","MGC15730, RP11-121A23.1","ENSG00000117154","Immunoglobin superfamily member 21","1","18107746-18378483","Predicted secreted proteins","Evidence at protein level","HPA044535","Approved",NA,NA,NA,NA,"Group enriched","Tissue enhanced",NA,"cerebral cortex: 28.9;spleen: 13.2","adrenal gland: 5.9","Cell line enriched",6,"SCLC-21H: 21.2"
"IGSF8",70,"F9","IOH28982",1842,"NP_443100.1","NP_443100.1","immunoglobulin superfamily, member 8 (IGSF8), mRNA.","NM_052868.2","NP_443100.1",93185,"Hs.332012","CD316, CD81P3, EWI2, PGRL","ENSG00000162729","Immunoglobulin superfamily member 8","1","160091340-160098943","CD markers, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA011917","Uncertain",NA,NA,NA,"Cervical cancer:7.32e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"cerebral cortex: 107.8","Expressed in all",NA,NA
"IL10",103,"F10","IOH29878",537,"0",NA,"interleukin 10 (IL10), mRNA.","NM_000572.2","NP_000563.1",3586,"Hs.193717","CSIF, IL-10, IL10A, TGIF","ENSG00000136634","Interleukin 10","1","206767602-206772494","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB013120","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"appendix: 8.7","adipose tissue: 7.4","Group enriched",7,"HMC-1: 5.2;U-266/70: 6.5"
"IL11",80,"G2","IOH10616",600,"0",NA,"interleukin 11 (IL11), mRNA.","NM_000641.2","NP_000632.1",3589,"Hs.467304","AGIF, IL-11","ENSG00000095752","Interleukin 11","19","55364389-55370463","Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA044955",NA,NA,"Uncertain","Mitochondria","Pancreatic cancer:7.50e-4 (unfavourable)","Mixed","Tissue enhanced",NA,"appendix: 5.7;endometrium: 5.2;gallbladder: 4.9","placenta: 1.7","Cell line enhanced",NA,"BJ: 50.3;BJ hTERT+: 54.5;hTEC/SVTERT24-B: 54.2;U-251 MG: 179.7"
"IL11RA",77,"B7","IOH39599",1269,"NP_004503.1","NP_004503.1","interleukin 11 receptor, alpha (IL11RA), transcript variant 1, mRNA.","NM_004512.3","NP_004503.1",3590,"Hs.591088",NA,"ENSG00000137070","Interleukin 11 receptor subunit alpha","9","34650702-34661892","Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA013162, CAB032830, HPA036652","Supported",NA,NA,NA,"Renal cancer:6.56e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"skin: 72.6","Mixed",NA,NA
"IL11RA",113,"B2","IOH45830",1173,"0",NA,"interleukin 11 receptor, alpha (IL11RA), transcript variant 2, mRNA.","NM_147162.1","NP_671518.1",3590,"Hs.591088",NA,"ENSG00000137070","Interleukin 11 receptor subunit alpha","9","34650702-34661892","Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA013162, CAB032830, HPA036652","Supported",NA,NA,NA,"Renal cancer:6.56e-4 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"skin: 72.6","Mixed",NA,NA
"IL12RB1",42,"E3","IOH22696",1146,"NP_005526.1","AAH29121.1","interleukin 12 receptor, beta 1, mRNA (cDNA clone IMAGE:5189122), complete cds.","BC029121.1","AAH29121.1",3594,"Hs.567294","CD212, IL12RB","ENSG00000096996","Interleukin 12 receptor subunit beta 1","19","18058995-18098944","CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA074414",NA,NA,"Approved","Plasma membrane","Renal cancer:5.90e-5 (unfavourable), Cervical cancer:3.41e-4 (favourable)","Mixed","Tissue enhanced",NA,"lymph node: 25.9","spleen: 20.6","Cell line enhanced",NA,"Daudi: 13.1;HDLM-2: 28.9;Karpas-707: 36.8"
"IL12RB2",110,"D5","IOH44449",2589,"NP_001550.1","NP_001550.1","interleukin 12 receptor, beta 2 (IL12RB2), mRNA.","NM_001559.2","NP_001550.1",3595,"Hs.479347",NA,"ENSG00000081985","Interleukin 12 receptor subunit beta 2","1","67307364-67396900","Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA024168","Uncertain",NA,"Uncertain","Plasma membrane<br>Cytosol",NA,"Tissue enhanced","Tissue enhanced",NA,"placenta: 11.8","cerebral cortex: 4.4","Cell line enhanced",NA,"HMC-1: 4.6;SCLC-21H: 12.2;SK-MEL-30: 21.0;THP-1: 10.6"
"IL13",139,"B1","IOH35104",441,"0",NA,"interleukin 13 (IL13), mRNA.","NM_002188.2","NP_002179.2",3596,"Hs.845","ALRH, BHR1, IL-13, MGC116786, MGC116788, MGC116789, P600","ENSG00000169194","Interleukin 13","5","132656263-132661110","Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA042421",NA,NA,"Approved","Plasma membrane<br>Cytosol",NA,"Not detected","Tissue enriched",10,"testis: 19.9","gallbladder: 2.0","Cell line enriched",226,"HDLM-2: 38.1"
"IL13RA1",81,"H3","IOH13584",1284,"0",NA,"interleukin 13 receptor, alpha 1, mRNA (cDNA clone MGC:23204 IMAGE:4868206), complete cds","BC015768.1","AAH15768.1",3597,"Hs.496646","CD213a1, IL-13Ra, NR4","ENSG00000131724","Interleukin 13 receptor subunit alpha 1","X","118727572-118794539","CD markers, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA000293",NA,NA,"Approved","Nucleoplasm<br>Golgi apparatus","Renal cancer:1.19e-8 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lung: 72.0","Mixed",NA,NA
"IL13RA1",117,"H3","IOH12240",1284,"NP_001551.1","NP_001551.1","interleukin 13 receptor, alpha 1 (IL13RA1), mRNA.","NM_001560.2","NP_001551.1",3597,"Hs.496646","CD213a1, IL-13Ra, NR4","ENSG00000131724","Interleukin 13 receptor subunit alpha 1","X","118727572-118794539","CD markers, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA000293",NA,NA,"Approved","Nucleoplasm<br>Golgi apparatus","Renal cancer:1.19e-8 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"lung: 72.0","Mixed",NA,NA
"IL17A",70,"H12","IOH29641",468,"0",NA,"interleukin 17A (IL17A), mRNA.","NM_002190.2","NP_002181.1",3605,"Hs.41724","CTLA8, IL-17, IL-17A, IL17","ENSG00000112115","Interleukin 17A","6","52186387-52190638","Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA052258","Uncertain",NA,NA,NA,NA,"Not detected","Tissue enhanced",NA,"appendix: 1.0;tonsil: 1.3;urinary bladder: 1.5","gallbladder: 0.3","Group enriched",16,"Karpas-707: 1.9;U-266/84: 1.2"
